prompt,canonical_solution,test
"

def is_palindrome(string: str) -> bool:
    """""" প্ৰদান কৰা ষ্ট্ৰিংটো পলিণ্ড্ৰ'ম নে নাই পৰীক্ষা কৰক """"""
    return string == string[::-1]


def make_palindrome(string: str) -> str:
    """""" Find the shortest palindrome that begins with a supplied string.
    Algorithm idea is simple:
    - Find the longest postfix of supplied string that is a palindrome.
    - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
    >>> make_palindrome('')
    ''
    >>> make_palindrome('cat')
    'catac'
    >>> make_palindrome('cata')
    'catac'
    """"""
","    if not string:
        return ''

    beginning_of_suffix = 0

    while not is_palindrome(string[beginning_of_suffix:]):
        beginning_of_suffix += 1

    return string + string[:beginning_of_suffix][::-1]
","def check(candidate):
    assert candidate('') == ''
    assert candidate('x') == 'x'
    assert candidate('xyz') == 'xyzyx'
    assert candidate('xyx') == 'xyx'
    assert candidate('jerry') == 'jerryrrej'
"
"from typing import List


def string_xor(a: str, b: str) -> str:
    """""" ইনপুট হৈছে দুখন ষ্ট্ৰিং a আৰু b যি কেৱল 1 আৰু 0 ৰে গঠিত।
    এই ইনপুটসমূহৰ ওপৰত বাইনাৰী XOR প্ৰক্ৰিয়া কৰক আৰু ফলাফলটোও ষ্ট্ৰিং হিচাপে উভতাই দিয়ক।
    >>> string_xor('010', '110')
    '100'
    """"""
","    def xor(i, j):
        if i == j:
            return '0'
        else:
            return '1'

    return ''.join(xor(x, y) for x, y in zip(a, b))
","def check(candidate):
    assert candidate('111000', '101010') == '010010'
    assert candidate('1', '1') == '0'
    assert candidate('0101', '0000') == '0101'
"
"from typing import List, Optional


def longest(strings: List[str]) -> Optional[str]:
    """""" ষ্ট্ৰিংৰ তালিকাৰ পৰা, সৰ্বাধিক দীঘল ষ্ট্ৰিংটো উলিওৱা। যদি একেধৰণৰ দীঘলৰ একাধিক ষ্ট্ৰিং থাকে, তেন্তে প্ৰথমটো উলিওৱা। যদি ইনপুট তালিকাটো খালী থাকে, তেন্তে কিছুমান উলিওৱা।
    >>> longest([])

    >>> longest(['a', 'b', 'c'])
    'a'
    >>> longest(['a', 'bb', 'ccc'])
    'ccc'
    """"""
","    if not strings:
        return None

    maxlen = max(len(x) for x in strings)
    for s in strings:
        if len(s) == maxlen:
            return s
","def check(candidate):
    assert candidate([]) == None
    assert candidate(['x', 'y', 'z']) == 'x'
    assert candidate(['x', 'yyy', 'zzzz', 'www', 'kkkk', 'abc']) == 'zzzz'
"
"

def greatest_common_divisor(a: int, b: int) -> int:
    """""" দুইটা পূৰ্ণসংখ্যা a আৰু b ৰ সৰ্বাধিক সাধারণ বিভাজক উভতাই দিয়া
    >>> greatest_common_divisor(3, 5)
    1
    >>> greatest_common_divisor(25, 15)
    5
    """"""
","    while b:
        a, b = b, a % b
    return a
","def check(candidate):
    assert candidate(3, 7) == 1
    assert candidate(10, 15) == 5
    assert candidate(49, 14) == 7
    assert candidate(144, 60) == 12
"
"from typing import List


def all_prefixes(string: str) -> List[str]:
    """""" ইনপুট ষ্ট্ৰিঙৰ সকলো প্ৰিফিক্স সৰ্বাধিক ক্ষুদ্ৰৰ পৰা সৰ্বাধিক দীঘলৰ তালিকা উভতাই দিন।
    >>> all_prefixes('abc')
    ['a', 'ab', 'abc']
    """"""
","    result = []

    for i in range(len(string)):
        result.append(string[:i+1])
    return result
","def check(candidate):
    assert candidate('') == []
    assert candidate('asdfgh') == ['a', 'as', 'asd', 'asdf', 'asdfg', 'asdfgh']
    assert candidate('WWW') == ['W', 'WW', 'WWW']
"
"

def string_sequence(n: int) -> str:
    """""" শূন্যৰ পৰা আৰম্ভ কৰি n ধৰি সংখ্যা সমূহৰ স্থান বিভাজিত এক ধাৰণা পুণৰাই দিয়া।
    >>> string_sequence(0)
    '0'
    >>> string_sequence(5)
    '0 1 2 3 4 5'
    """"""
","    return ' '.join([str(x) for x in range(n + 1)])
","def check(candidate):
    assert candidate(0) == '0'
    assert candidate(3) == '0 1 2 3'
    assert candidate(10) == '0 1 2 3 4 5 6 7 8 9 10'
"
"

def count_distinct_characters(string: str) -> int:
    """""" দিয়া কৰা ষ্ট্ৰিংটোত কিমানটা পৃথক ক্ৰমানুসাৰী আখৰ আছে সেয়া বিচাৰি উলিওক।
    >>> count_distinct_characters('xyzXYZ')
    3
    >>> count_distinct_characters('Jerry')
    4
    """"""
","    return len(set(string.lower()))
","def check(candidate):
    assert candidate('') == 0
    assert candidate('abcde') == 5
    assert candidate('abcde' + 'cade' + 'CADE') == 5
    assert candidate('aaaaAAAAaaaa') == 1
    assert candidate('Jerry jERRY JeRRRY') == 5
"
"from typing import List


def parse_music(music_string: str) -> List[int]:
    """""" এই ফাংশনৰ ইনপুটটো হৈছে এক টেক্সট যি বিশেষ ASCII ফৰ্মেটত সঙ্গীতৰ নোটসমূহ প্ৰদৰ্শন কৰে।
    তোমাৰ কাৰ্য্য হৈছে এই টেক্সটটো বিশ্লেষণ কৰি এটা পূৰ্ণসংখ্যাৰ তালিকা উলিয়াব যি প্ৰতিটো নোট কিমান বিটলৈকে থাকে তাক প্ৰতিনিধিত্ব কৰে।

    ইয়াত এটা বিৱৰণ দিয়া হৈছে:
    'o' - সম্পূৰ্ণ নোট, চাৰিখন বিটলৈকে থাকিব
    'o|' - অর্ধেক নোট, দুটিখন বিটলৈকে থাকিব
    '.|' - চতুৰ্থাংশ নোট, এগৰাকী বিটলৈকে থাকিব

    >>> parse_music('o o| .| o| o| .| .| .| .| o o')
    [4, 2, 1, 2, 2, 1, 1, 1, 1, 4, 4]
    """"""
","    note_map = {'o': 4, 'o|': 2, '.|': 1}
    return [note_map[x] for x in music_string.split(' ') if x]
","def check(candidate):
    assert candidate('') == []
    assert candidate('o o o o') == [4, 4, 4, 4]
    assert candidate('.| .| .| .|') == [1, 1, 1, 1]
    assert candidate('o| o| .| .| o o o o') == [2, 2, 1, 1, 4, 4, 4, 4]
    assert candidate('o| .| o| .| o o| o o|') == [2, 1, 2, 1, 4, 2, 4, 2]
"
"

def how_many_times(string: str, substring: str) -> int:
    """""" মুল ষ্ট্ৰিঙত এখন দিয়া উপ-ষ্ট্ৰিং কিমানবাৰ পোৱা যায় চোৱা। আৱৰি থকা ক্ষেত্ৰসমূহ গণনা কৰা।
    >>> how_many_times('', 'a')
    0
    >>> how_many_times('aaa', 'a')
    3
    >>> how_many_times('aaaa', 'aa')
    3
    """"""
","    times = 0

    for i in range(len(string) - len(substring) + 1):
        if string[i:i+len(substring)] == substring:
            times += 1

    return times
","def check(candidate):
    assert candidate('', 'x') == 0
    assert candidate('xyxyxyx', 'x') == 4
    assert candidate('cacacacac', 'cac') == 4
    assert candidate('john doe', 'john') == 1
"
"from typing import List


def sort_numbers(numbers: str) -> str:
    """""" ইনপুটটো এটা স্থান-প্ৰত্যাশিত সংখ্যা 'zero' পৰা 'nine' লৈকে।
    বৈধ বিকল্পবোৰ হ'ল 'zero', 'one', 'two', 'three', 'four', 'five', 'six', 'seven', 'eight' আৰু 'nine'।
    সংখ্যাবোৰ সৰুৰ পৰা ডাঙৰলৈ সৰ্ট কৰি টেক্সটটো উভতি দিয়ক।
    >>> sort_numbers('three one five')
    'one three five'
    """"""
","    value_map = {
        'zero': 0,
        'one': 1,
        'two': 2,
        'three': 3,
        'four': 4,
        'five': 5,
        'six': 6,
        'seven': 7,
        'eight': 8,
        'nine': 9
    }
    return ' '.join(sorted([x for x in numbers.split(' ') if x], key=lambda x: value_map[x]))
","def check(candidate):
    assert candidate('') == ''
    assert candidate('three') == 'three'
    assert candidate('three five nine') == 'three five nine'
    assert candidate('five zero four seven nine eight') == 'zero four five seven eight nine'
    assert candidate('six five four three two one zero') == 'zero one two three four five six'
"
"from typing import List, Tuple


def find_closest_elements(numbers: List[float]) -> Tuple[float, float]:
    """""" যোগান ধৰা সংখ্যাৰ তালিকাৰ পৰা দুটা সংখ্যা বাচি উলিওৱা যি ইজনে সিজনৰ সৈতে আটাইতকৈ ওচৰ চাব আৰু সিহঁতক ক্ৰম অনুসৰি উলিওৱা।
    >>> find_closest_elements([1.0, 2.0, 3.0, 4.0, 5.0, 2.2])
    (2.0, 2.2)
    >>> find_closest_elements([1.0, 2.0, 3.0, 4.0, 5.0, 2.0])
    (2.0, 2.0)
    """"""
","    closest_pair = None
    distance = None

    for idx, elem in enumerate(numbers):
        for idx2, elem2 in enumerate(numbers):
            if idx != idx2:
                if distance is None:
                    distance = abs(elem - elem2)
                    closest_pair = tuple(sorted([elem, elem2]))
                else:
                    new_distance = abs(elem - elem2)
                    if new_distance < distance:
                        distance = new_distance
                        closest_pair = tuple(sorted([elem, elem2]))

    return closest_pair
","def check(candidate):
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2]) == (3.9, 4.0)
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0]) == (5.0, 5.9)
    assert candidate([1.0, 2.0, 3.0, 4.0, 5.0, 2.2]) == (2.0, 2.2)
    assert candidate([1.0, 2.0, 3.0, 4.0, 5.0, 2.0]) == (2.0, 2.0)
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1]) == (2.2, 3.1)

"
"from typing import List


def rescale_to_unit(numbers: List[float]) -> List[float]:
    """""" দিয়া হোৱা সংখ্যাৰ তালিকাত, তালিকাটিত এটা ৰৈখিক ৰূপান্তৰ প্ৰয়োগ কৰক,
    যাৰ ফলত আটাইতকৈ সৰু সংখ্যাটো 0 হব আৰু আটাইতকৈ ডাঙৰ সংখ্যাটো 1 হব।
    >>> rescale_to_unit([1.0, 2.0, 3.0, 4.0, 5.0])
    [0.0, 0.25, 0.5, 0.75, 1.0]
    """"""
","    min_number = min(numbers)
    max_number = max(numbers)
    return [(x - min_number) / (max_number - min_number) for x in numbers]
","def check(candidate):
    assert candidate([2.0, 49.9]) == [0.0, 1.0]
    assert candidate([100.0, 49.9]) == [1.0, 0.0]
    assert candidate([1.0, 2.0, 3.0, 4.0, 5.0]) == [0.0, 0.25, 0.5, 0.75, 1.0]
    assert candidate([2.0, 1.0, 5.0, 3.0, 4.0]) == [0.25, 0.0, 1.0, 0.5, 0.75]
    assert candidate([12.0, 11.0, 15.0, 13.0, 14.0]) == [0.25, 0.0, 1.0, 0.5, 0.75]
"
"from typing import List, Any


def filter_integers(values: List[Any]) -> List[int]:
    """""" দিয়া হোৱা পাইথন মানৰ তালিকাখন কেৱল পূৰ্ণসংখ্যাৰ বাবে ফিল্টাৰ কৰক।
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
","    return [x for x in values if isinstance(x, int)]
","def check(candidate):
    assert candidate([]) == []
    assert candidate([4, {}, [], 23.2, 9, 'adasd']) == [4, 9]
    assert candidate([3, 'c', 3, 3, 'a', 'b']) == [3, 3, 3]
"
"

def strlen(string: str) -> int:
    """""" দিয়া হোৱা ষ্ট্ৰিংটোৰ দৈৰ্ঘ্য উভতাই দিব।
    >>> strlen('')
    0
    >>> strlen('abc')
    3
    """"""
","    return len(string)
","def check(candidate):
    assert candidate('') == 0
    assert candidate('x') == 1
    assert candidate('asdasnakj') == 9
"
"

def largest_divisor(n: int) -> int:
    """""" এটা নিৰ্দিষ্ট সংখ্যা nৰ বাবে, nত যি সংখ্যাটো সমানে বিভাজিত হয় আৰু nতকৈ সৰু, সেই আটাইতকৈ ডাঙৰ সংখ্যাটো বিচাৰি উলিওৱা।
    >>> largest_divisor(15)
    5
    """"""
","    for i in reversed(range(n)):
        if n % i == 0:
            return i
","def check(candidate):
    assert candidate(3) == 1
    assert candidate(7) == 1
    assert candidate(10) == 5
    assert candidate(100) == 50
    assert candidate(49) == 7
"
"from typing import List


def factorize(n: int) -> List[int]:
    """""" তালিকাভুক্ত সংখ্যাৰ প্ৰাথমিক গুণকসমূহ ক্ষুদ্ৰতমৰ পৰা বৃহত্তমৰ পৰ্যন্ত প্ৰদান কৰক।
    প্ৰত্যেক গুণকৰ সংখ্যাবোৰ তালিকাভুক্ত কৰক যিমানবাৰ সেইটো গুণনৰ সময়ত উপস্থিত হয়।
    ইনপুট সংখ্যাটো সকলো গুণকৰ গুণফলৰ সমান হ'ব লাগিব।
    >>> factorize(8)
    [2, 2, 2]
    >>> factorize(25)
    [5, 5]
    >>> factorize(70)
    [2, 5, 7]
    """"""
","    import math
    fact = []
    i = 2
    while i <= int(math.sqrt(n) + 1):
        if n % i == 0:
            fact.append(i)
            n //= i
        else:
            i += 1

    if n > 1:
        fact.append(n)
    return fact
","def check(candidate):
    assert candidate(2) == [2]
    assert candidate(4) == [2, 2]
    assert candidate(8) == [2, 2, 2]
    assert candidate(3 * 19) == [3, 19]
    assert candidate(3 * 19 * 3 * 19) == [3, 3, 19, 19]
    assert candidate(3 * 19 * 3 * 19 * 3 * 19) == [3, 3, 3, 19, 19, 19]
    assert candidate(3 * 19 * 19 * 19) == [3, 19, 19, 19]
    assert candidate(3 * 2 * 3) == [2, 3, 3]
"
"from typing import List


def remove_duplicates(numbers: List[int]) -> List[int]:
    """""" ইন্টিজাৰৰ এটা তালিকাৰ পৰা, যিসকল উপাদান একাধিকবাৰ ঘটা দেখা যায় সেইসকল উপাদান আঁতৰাওক।
    ইনপুটত থকা উপাদানৰ ক্ৰম যথাৰীতি ৰাখক।
    >>> remove_duplicates([1, 2, 3, 2, 4])
    [1, 3, 4]
    """"""
","    import collections
    c = collections.Counter(numbers)
    return [n for n in numbers if c[n] <= 1]
","def check(candidate):
    assert candidate([]) == []
    assert candidate([1, 2, 3, 4]) == [1, 2, 3, 4]
    assert candidate([1, 2, 3, 2, 4, 3, 5]) == [1, 4, 5]
"
"

def flip_case(string: str) -> str:
    """""" এটা প্রদত্ত স্ট্ৰিংৰ বাবে, সৰু অক্ষৰবোৰক ডাঙৰ অক্ষৰলৈ আৰু ডাঙৰ অক্ষৰবোৰক সৰু অক্ষৰলৈ পৰিবৰ্তন কৰক।
    >>> flip_case('Hello')
    'hELLO'
    """"""
","    return string.swapcase()
","def check(candidate):
    assert candidate('') == ''
    assert candidate('Hello!') == 'hELLO!'
    assert candidate('These violent delights have violent ends') == 'tHESE VIOLENT DELIGHTS HAVE VIOLENT ENDS'
"
"from typing import List


def concatenate(strings: List[str]) -> str:
    """""" ষ্ট্ৰিংসমূহৰ তালিকাক এটা একক ষ্ট্ৰিঙত সংযুক্ত কৰক
    >>> concatenate([])
    ''
    >>> concatenate(['a', 'b', 'c'])
    'abc'
    """"""
","    return ''.join(strings)
","def check(candidate):
    assert candidate([]) == ''
    assert candidate(['x', 'y', 'z']) == 'xyz'
    assert candidate(['x', 'y', 'z', 'w', 'k']) == 'xyzwk'
"
"from typing import List


def filter_by_prefix(strings: List[str], prefix: str) -> List[str]:
    """""" এখন প্ৰৱেশ সূচীৰ শ্ৰেণীবদ্ধ বস্তুবোৰত যিবোৰ নিৰ্দিষ্ট উপসৰ্গৰ দ্বাৰা আৰম্ভ হৈছে, সেইবোৰহে বাছি লোৱা।
    >>> filter_by_prefix([], 'a')
    []
    >>> filter_by_prefix(['abc', 'bcd', 'cde', 'array'], 'a')
    ['abc', 'array']
    """"""
","    return [x for x in strings if x.startswith(prefix)]
","def check(candidate):
    assert candidate([], 'john') == []
    assert candidate(['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx') == ['xxx', 'xxxAAA', 'xxx']
"
"

def get_positive(l: list):
    """"""তালিকাত কেৱল ধনাত্মক সংখ্যাবোৰ উভতি দিয়া।
    >>> get_positive([-1, 2, -4, 5, 6])
    [2, 5, 6]
    >>> get_positive([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10])
    [5, 3, 2, 3, 9, 123, 1]
    """"""
","    return [e for e in l if e > 0]
","def check(candidate):
    assert candidate([-1, -2, 4, 5, 6]) == [4, 5, 6]
    assert candidate([5, 3, -5, 2, 3, 3, 9, 0, 123, 1, -10]) == [5, 3, 2, 3, 3, 9, 123, 1]
    assert candidate([-1, -2]) == []
    assert candidate([]) == []

"
"

def is_prime(n):
    """"""যদি এটা নিদিষ্ট সংখ্যা মৌলিক হয় তেন্তে true ৰূপে ঘূৰাই দিয়ক, আৰু নহ'লে false।
    >>> is_prime(6)
    False
    >>> is_prime(101)
    True
    >>> is_prime(11)
    True
    >>> is_prime(13441)
    True
    >>> is_prime(61)
    True
    >>> is_prime(4)
    False
    >>> is_prime(1)
    False
    """"""
","    if n < 2:
        return False
    for k in range(2, n - 1):
        if n % k == 0:
            return False
    return True
","def check(candidate):
    assert candidate(6) == False
    assert candidate(101) == True
    assert candidate(11) == True
    assert candidate(13441) == True
    assert candidate(61) == True
    assert candidate(4) == False
    assert candidate(1) == False
    assert candidate(5) == True
    assert candidate(11) == True
    assert candidate(17) == True
    assert candidate(5 * 17) == False
    assert candidate(11 * 7) == False
    assert candidate(13441 * 19) == False

"
